country,code,year,gas_consumption,coal_consumption,oil_consumption
Africa,,1965,9.571929,323.49615,342.1337
Africa,,1966,10.698091,323.1222,370.45
Africa,,1967,10.573845,330.29156,369.19354
Africa,,1968,10.717145,343.5129,390.3657
Africa,,1969,12.520175,346.64288,398.15326
Africa,,1970,15.5485,360.7569,435.02704
Africa,,1971,18.405262,383.0123,474.3054
Africa,,1972,24.670656,384.21082,510.7296
Africa,,1973,39.551792,408.9103,549.80396
Africa,,1974,44.518486,425.64618,569.7385
Africa,,1975,53.63838,451.08047,597.671
Africa,,1976,60.98139,481.07413,652.5852
Africa,,1977,68.23419,491.69846,695.1952
Africa,,1978,97.369896,477.81558,732.366
Africa,,1979,148.8428,507.24698,771.1747
Africa,,1980,186.91397,543.55707,818.15454
Africa,,1981,228.49115,635.79877,885.4927
Africa,,1982,246.73354,701.17584,926.532
Africa,,1983,271.27533,713.24603,964.7042
Africa,,1984,259.90277,762.8979,982.0362
Africa,,1985,278.84274,787.16583,1007.3241
Africa,,1986,313.27118,805.356,984.45636
Africa,,1987,323.38437,828.3197,1038.56
Africa,,1988,358.44452,890.16077,1081.7913
Africa,,1989,371.47104,835.62085,1117.5557
Africa,,1990,398.64536,877.6782,1135.9592
Africa,,1991,401.6356,853.76215,1141.9103
Africa,,1992,421.27026,858.8312,1164.2032
Africa,,1993,412.64395,871.7139,1176.1725
Africa,,1994,431.82794,894.4478,1214.283
Africa,,1995,461.2435,922.47125,1256.2194
Africa,,1996,484.19174,935.2283,1283.562
Africa,,1997,474.47552,959.01904,1324.0258
Africa,,1998,499.33698,937.03894,1355.3862
Africa,,1999,504.01962,966.0107,1404.9454
Africa,,2000,556.8223,963.73047,1408.3779
Africa,,2001,634.6361,975.9262,1423.5013
Africa,,2002,670.636,934.42163,1457.352
Africa,,2003,711.536,1017.0484,1501.7174
Africa,,2004,783.10583,1119.1619,1571.9252
Africa,,2005,808.0279,1039.0729,1641.2847
Africa,,2006,843.74774,1054.097,1656.8494
Africa,,2007,900.41455,1071.6333,1720.8945
Africa,,2008,935.5027,1180.7251,1807.1218
Africa,,2009,941.2384,1176.002,1872.0237
Africa,,2010,981.41986,1167.1663,1952.0454
Africa,,2011,1061.5934,1149.025,1921.6882
Africa,,2012,1147.4294,1120.1858,2045.3468
Africa,,2013,1170.0557,1132.1521,2122.528
Africa,,2014,1202.3503,1185.7092,2144.3142
Africa,,2015,1307.7611,1123.2715,2202.6306
Africa,,2016,1350.4666,1191.6005,2221.6062
Africa,,2017,1455.7446,1192.7607,2265.2363
Africa,,2018,1553.0098,1170.1332,2299.4292
Africa,,2019,1576.5094,1236.2761,2295.1206
Africa,,2020,1541.8435,1195.1685,2055.2783
Africa,,2021,1766.1251,1197.929,2242.3945
Africa,,2022,1747.1118,1144.8707,2361.337
Africa,,2023,1712.2908,1133.9897,2358.9668
Africa (EI),,1965,9.571929,323.49615,342.1337
Africa (EI),,1966,10.698091,323.1222,370.45
Africa (EI),,1967,10.573844,330.2916,369.1935
Africa (EI),,1968,10.717145,343.51288,390.3657
Africa (EI),,1969,12.520175,346.64288,398.15326
Africa (EI),,1970,15.5485,360.7569,435.02707
Africa (EI),,1971,18.405264,383.0123,474.30536
Africa (EI),,1972,24.670658,384.21082,510.7296
Africa (EI),,1973,39.551792,408.91034,549.804
Africa (EI),,1974,44.518486,425.6462,569.7385
Africa (EI),,1975,53.638374,451.08047,597.6711
Africa (EI),,1976,60.98139,481.07416,652.5852
Africa (EI),,1977,68.23419,491.69843,695.1952
Africa (EI),,1978,97.369896,477.81558,732.366
Africa (EI),,1979,148.8428,507.24698,771.1747
Africa (EI),,1980,186.91397,543.55707,818.15454
Africa (EI),,1981,228.49113,635.79877,885.4927
Africa (EI),,1982,246.73354,701.17584,926.5319
Africa (EI),,1983,271.27536,713.24603,964.7042
Africa (EI),,1984,259.90277,762.8978,982.03625
Africa (EI),,1985,278.84274,787.1659,1007.3241
Africa (EI),,1986,313.27118,805.356,984.45636
Africa (EI),,1987,323.38437,828.3197,1038.56
Africa (EI),,1988,358.44455,890.16077,1081.7911
Africa (EI),,1989,371.47104,835.62085,1117.5557
Africa (EI),,1990,398.6454,877.6782,1135.9592
Africa (EI),,1991,401.6356,853.76215,1141.9103
Africa (EI),,1992,421.27026,858.8311,1164.2032
Africa (EI),,1993,412.64398,871.7139,1176.1725
Africa (EI),,1994,431.82797,894.4478,1214.2828
Africa (EI),,1995,461.24347,922.47125,1256.2194
Africa (EI),,1996,484.19174,935.2283,1283.562
Africa (EI),,1997,474.47556,959.0191,1324.0258
Africa (EI),,1998,499.337,937.03894,1355.3861
Africa (EI),,1999,504.01962,966.0107,1404.9454
Africa (EI),,2000,556.8223,963.7305,1408.3778
Africa (EI),,2001,634.6361,975.9262,1423.5012
Africa (EI),,2002,670.636,934.4216,1457.352
Africa (EI),,2003,711.5361,1017.0484,1501.7174
Africa (EI),,2004,783.1059,1119.162,1571.9252
Africa (EI),,2005,808.0279,1039.0729,1641.2847
Africa (EI),,2006,843.74774,1054.0972,1656.8494
Africa (EI),,2007,900.41455,1071.6333,1720.8945
Africa (EI),,2008,935.5027,1180.7251,1807.1218
Africa (EI),,2009,941.2384,1176.002,1872.0237
Africa (EI),,2010,981.41986,1167.1664,1952.0454
Africa (EI),,2011,1061.5934,1149.025,1921.6881
Africa (EI),,2012,1147.4296,1120.1858,2045.3467
Africa (EI),,2013,1170.0557,1132.1521,2122.528
Africa (EI),,2014,1202.3505,1185.7092,2144.3142
Africa (EI),,2015,1307.7611,1123.2714,2202.6306
Africa (EI),,2016,1350.4667,1191.6006,2221.606
Africa (EI),,2017,1455.7446,1192.7609,2265.2363
Africa (EI),,2018,1553.0098,1170.1332,2299.4292
Africa (EI),,2019,1576.5093,1236.2762,2295.1206
Africa (EI),,2020,1541.8435,1195.1685,2055.2783
Africa (EI),,2021,1766.1252,1197.9288,2242.3948
Africa (EI),,2022,1747.1118,1144.8707,2361.337
Africa (EI),,2023,1712.2908,1133.9897,2358.9668
Algeria,DZA,1965,7.4305,0.81409997,15.4052515
Algeria,DZA,1966,7.7192497,0.79083997,20.272705
Algeria,DZA,1967,7.48825,0.60476,18.94203
Algeria,DZA,1968,7.87325,0.63965,20.167301
Algeria,DZA,1969,10.351687,0.81409997,21.305931
Algeria,DZA,1970,9.730875,0.96528995,24.34768
Algeria,DZA,1971,11.0494995,0.26749,27.440048
Algeria,DZA,1972,12.830125,0.23259999,30.121414
Algeria,DZA,1973,17.859186,0.26749,32.900345
Algeria,DZA,1974,20.6745,0.22096999,36.54384
Algeria,DZA,1975,28.49,0.27912,40.63067
Algeria,DZA,1976,33.6875,0.54660994,46.71773
Algeria,DZA,1977,35.901253,0.70943,52.80649
Algeria,DZA,1978,57.65375,0.36053,54.607944
Algeria,DZA,1979,81.52374,0.83736,65.31862
Algeria,DZA,1980,109.43624,0.74432,66.20243
Algeria,DZA,1981,142.25749,0.52335,71.323074
Algeria,DZA,1982,161.41124,9.711049,75.57342
Algeria,DZA,1983,176.715,8.66435,84.89242
Algeria,DZA,1984,155.25125,9.60638,94.00201
Algeria,DZA,1985,153.8075,10.025061,96.5538
Algeria,DZA,1986,168.43748,10.292549,98.02125
Algeria,DZA,1987,172.2875,12.30454,99.10052
Algeria,DZA,1988,194.13625,11.571849,99.1726
Algeria,DZA,1989,182.68251,9.78083,103.93665
Algeria,DZA,1990,195.09874,7.66417,111.811615
Algeria,DZA,1991,192.69249,7.9084,110.627785
Algeria,DZA,1992,198.94875,9.397039,111.292656
Algeria,DZA,1993,178.54373,7.6525397,110.754875
Algeria,DZA,1994,188.16875,7.2106,106.05089
Algeria,DZA,1995,202.22125,7.2106,103.14228
Algeria,DZA,1996,207.70749,3.3959599,98.42207
Algeria,DZA,1997,194.04001,5.95456,97.64342
Algeria,DZA,1998,200.68124,6.37324,100.65875
Algeria,DZA,1999,205.10875,6.82681,98.898346
Algeria,DZA,2000,191.01292,5.6405497,103.13248
Algeria,DZA,2001,197.32211,6.5127997,106.77533
Algeria,DZA,2002,194.83887,8.54805,118.397224
